Cycle	Pathway	k_number	Detail
		K00615	"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
		K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]
		K11532	"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K01086	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
		K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]
	Reductive citrate cycle	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
		K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
		K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
		K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
		K03737	"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
		K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
		K01006	"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"
		K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
		K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]
		K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
		K01958	"PC, pyc; pyruvate carboxylase [EC:6.4.1.1]"
		K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
		K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
		K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
		K01677	"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
		K01678	"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
		K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
		K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
		K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
		K00242	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
		K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
		K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
		K00246	frdC; fumarate reductase subunit C
		K00247	frdD; fumarate reductase subunit D
		K18556	frdA; NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]
		K18557	frdB; NADH-dependent fumarate reductase subunit B [EC:1.3.1.6]
		K18558	frdC; NADH-dependent fumarate reductase subunit C
		K18559	frdD; NADH-dependent fumarate reductase subunit D
		K18560	frdE; NADH-dependent fumarate reductase subunit E
		K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
		K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
		K00174	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
		K00175	"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
		K00177	"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
		K00176	"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
		K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
		K01681	"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
		K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
		K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]
		K15231	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]
		K15232	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]
		K15233	ccsB; citryl-CoA synthetase small subunit
		K15234	ccl; citryl-CoA lyase [EC:4.1.3.34]
	Wood-Ljungdahl pathway	K00198	"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
		K05299	fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]
		K15022	fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]
		K01938	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]
		K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
		K00297	"metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]"
		K15023	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]
		K14138	acsB; acetyl-CoA synthase [EC:2.3.1.169]
		K00197	"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"
		K00194	"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
	3-hydroxypropionate bicycle	K01961	"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
		K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
		K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
		K02160	"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
		K14468	mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]
		K14469	K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]
		K15052	K15052; propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15]
		K05606	"MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]"
		K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]
		K01848	"E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
		K01849	"E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
		K14471	smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22]
		K14472	smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22]
		K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
		K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
		K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
		K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
		K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
		K14449	"mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]"
		K14470	mct; 2-methylfumaryl-CoA isomerase [EC:5.4.1.3]
		K09709	meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]
	Hydroxypropionate-hydroxybutylate cycle	K01964	K01964; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]
		K15036	K15036; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]
		K15037	K15037; biotin carboxyl carrier protein
		K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]
		K15039	K15039; 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]
		K15018	K15018; 3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]
		K15019	K15019; 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]
		K15020	K15020; acryloyl-coenzyme A reductase [EC:1.3.1.84]
		K05606	"MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]"
		K01848	"E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
		K01849	"E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
		K15038	K15038; succinyl-CoA reductase [EC:1.2.1.76]
		K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]
		K14465	K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]
		K14466	K14466; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
		K18861	K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
		K14534	abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]
		K15016	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]
		K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
	Dicarboxylate-hydroxybutyrate cycle	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
		K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
		K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
		K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
		K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
		K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
		K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
		K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
		K01677	"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
		K01678	"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
		K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
		K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
		K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
		K18860	"sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
		K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
		K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
		K15038	K15038; succinyl-CoA reductase [EC:1.2.1.76]
		K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]
		K14465	K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]
		K14467	4hbl; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
		K18861	K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
		K14534	abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]
		K15016	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]
		K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
Central metabolism	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	K00844	HK; hexokinase [EC:2.7.1.1]
		K12407	GCK; glucokinase [EC:2.7.1.2]
		K00845	glk; glucokinase [EC:2.7.1.2]
		K00886	ppgK; polyphosphate glucokinase [EC:2.7.1.63]
		K08074	ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]
		K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
		K01810	"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
		K06859	"pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
		K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
		K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
		K00850	"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
		K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
		K00918	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
		K01623	"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
		K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
		K11645	"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
		K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
		K16306	"K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
		K01803	"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
		K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
		K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
		K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
		K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
		K01834	"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
		K15633	"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
		K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
		K15635	"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
		K01689	"ENO, eno; enolase [EC:4.2.1.11]"
		K00873	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
		K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	K00036	"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
		K01057	"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
		K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
		K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]
		K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
	"Gluconeogenesis, oxaloacetate => fructose-6P"	K01596	"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
		K01610	"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
		K01689	"ENO, eno; enolase [EC:4.2.1.11]"
		K01834	"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
		K15633	"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
		K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
		K15635	"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
		K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"
		K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
		K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
		K01803	"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]"
		K01623	"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
		K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
		K11645	"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
		K03841	"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
		K02446	"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
		K11532	"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K01086	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K04041	"fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
		K01622	"K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
	TCA cycle	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
		K05942	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3]
		K01681	"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
		K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
		K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
		K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
		K00164	"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
		K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
		K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
		K00174	"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
		K00175	"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
		K00177	"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
		K00176	"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
		K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
		K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
		K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
		K01900	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
		K18118	"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
		K00234	"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
		K00235	"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
		K00236	"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
		K00237	"SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit"
		K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
		K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
		K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
		K00242	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
		K18859	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D"
		K18860	"sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
		K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
		K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
		K00246	frdC; fumarate reductase subunit C
		K00247	frdD; fumarate reductase subunit D
		K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
		K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
		K01677	"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
		K01678	"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
		K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]
		K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]
		K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
		K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
Methane metabolism	"Methanogenesis, methanol => methane"	K14080	mtaA; [methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]
		K04480	mtaB; methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]
		K14081	mtaC; methanol corrinoid protein
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
		K22480	hdrA1; heterodisulfide reductase subunit A1 [EC:1.8.7.3]
		K22481	hdrB1; heterodisulfide reductase subunit B1 [EC:1.8.7.3]
		K22482	hdrC1; heterodisulfide reductase subunit C1 [EC:1.8.7.3]
		K03388	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K03389	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K03390	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K08264	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
		K08265	hdrE; heterodisulfide reductase subunit E [EC:1.8.98.1]
		K14126	"mvhA, vhuA, vhcA; F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]"
		K14128	"mvhG, vhuG, vhcG; F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]"
		K14127	"mvhD, vhuD, vhcD; F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]"
		K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
		K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
	"Methanogenesis, acetate => methane"	K00925	ackA; acetate kinase [EC:2.7.2.1]
		K00625	"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
		K13788	pta; phosphate acetyltransferase [EC:2.3.1.8]
		K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
		K00193	"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]"
		K00197	"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"
		K00194	"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
		K00577	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
		K00578	mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]
		K00579	mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]
		K00580	mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]
		K00581	mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
		K00582	mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]
		K00583	mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]
		K00584	mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
		K22480	hdrA1; heterodisulfide reductase subunit A1 [EC:1.8.7.3]
		K22481	hdrB1; heterodisulfide reductase subunit B1 [EC:1.8.7.3]
		K22482	hdrC1; heterodisulfide reductase subunit C1 [EC:1.8.7.3]
		K03388	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
